Year,Player,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
1966,Harry Hollines,25,,,9.3,22,0.424,6.6,8.1,0.818,5.6,,,,,2.2,25.3
1966,Byron Beck,25,,,6.8,12.3,0.557,3.1,4.6,0.67,11.8,,,,,3.6,16.8
1966,Gerry Grover,25,,,4.9,11.3,0.436,3.3,4.5,0.732,4.1,,,,,2.2,13.1
1966,George Roderick,25,,,4.6,9.9,0.46,2.5,4,0.614,8.3,,,,,2.1,11.6
1966,Rick Callahan,25,,,1.4,3,0.461,3.5,4.6,0.759,4.5,,,,,3.4,6.3
1966,Dave Arnold,24,,,1.6,3.8,0.424,0.8,1.1,0.667,3.1,,,,,1.5,4
1966,Mike Boxberger,13,,,1.3,2.6,0.5,1,1.3,0.765,1.6,,,,,0.5,3.6
1966,Jim Cox,15,,,1.5,3,0.489,0.3,0.6,0.556,1.1,,,,,1,3.3
1966,Al White,17,,,1,2.3,0.436,0.6,1.2,0.55,2.4,,,,,1.6,2.6
1966,Tom McCune,11,,,0.6,2.1,0.304,0.4,0.4,1,0.4,,,,,0.4,1.6
1967,Harry Hollines,25,,,9.5,20.7,0.458,5.9,7.2,0.821,5.2,,,,,2.5,24.8
1967,Byron Beck,24,,,5.9,10.7,0.551,2.2,3.1,0.703,9.1,,,,,3.6,13.9
1967,Brian Clare,25,,,4.6,8.3,0.551,2.9,3.9,0.745,7.6,,,,,3.6,12
1967,George Roderick,25,,,4.3,10.5,0.408,2,3.6,0.573,9.2,,,,,2.1,10.6
1967,Gerry Grover,24,,,4,8.5,0.478,1.8,2.9,0.623,3.9,,,,,2.3,9.9
1967,Rick Callahan,24,,,1.5,3.4,0.444,1.8,2.8,0.657,4.5,,,,,3.8,4.8
1967,Mike Boxberger,17,,,1.5,3.2,0.473,0.4,0.5,0.778,1.2,,,,,0.5,3.5
1967,Chuck Ducar,11,,,0.9,2.3,0.4,0.3,0.5,0.6,1.2,,,,,0.9,2.1
1967,Keith Strohman,12,,,0.4,1.4,0.294,0.3,0.8,0.444,0.6,,,,,0.3,1.2
1967,Ken Robinson,6,,,0.2,1.2,0.143,0.3,0.5,0.667,1.5,,,,,0.8,0.7
1968,Harry Hollines,25,,,9.6,21.2,0.454,5.8,8.1,0.709,5.4,,,,,2.4,25
1968,Horace Kearney,25,,,7.4,16.7,0.443,2.4,3.8,0.635,5.7,,,,,2.4,17.2
1968,Brian Clare,25,,,4.8,10.6,0.458,3.3,4.3,0.769,11.1,,,,,4,13
1968,Moses Brewer,25,,,4.1,9,0.456,1.5,2.6,0.578,6.9,,,,,2.8,9.7
1968,Rick Callahan,25,,,2.7,5.2,0.519,2.8,3.9,0.711,6.6,,,,,3.4,8.1
1968,Ken Jones,13,,,1.9,6,0.321,1.5,2.4,0.645,4.6,,,,,2.4,5.4
1968,Al White,23,,,1.7,4,0.43,1.1,1.7,0.65,5,,,,,2.1,4.6
1968,Doug Funk,12,,,1.6,3.6,0.442,0.9,1.3,0.688,1.3,,,,,1.3,4.1
1968,Jerry Johnson,20,,,0.9,2.4,0.354,0.8,1.5,0.517,2.1,,,,,1.6,2.5
1968,John Bokan,9,,,0.2,1.4,0.154,0.4,1.1,0.4,1.3,,,,,1,0.9
